layer,mean_manip_abs_pole_alignment,sd_manip_abs_pole_alignment,mean_report_neg_rating_alignment,sd_report_neg_rating_alignment,mean_report_persona_eta2,mean_manip_persona_eta2,mean_report_task_eta2
43,0.8798762920558371,0.003548886224691513,0.8329295143407914,0.026258257626776957,0.4103219028677445,0.023898695051232367,0.0651883350305616
44,0.8778300681208234,0.0026773493338533255,0.8191984675528549,0.025820352050238474,0.42217967300163295,0.027851820424284468,0.071444858927079
45,0.8781028979788252,0.0015885165580018404,0.8155527917401524,0.03030042208365936,0.4115151751717707,0.028599919982656482,0.0773726238383423
46,0.8783757278368269,0.0012047840315330858,0.8140539119191105,0.02567023711003785,0.41676039776490675,0.029037031488293567,0.08184834646371301
47,0.8789213875528307,0.002609771259072697,0.8163638750178995,0.03301053233271996,0.4326537032999392,0.027608015310611567,0.08026490524931351
48,0.8785121427658279,0.0021758074267130088,0.8214215342364085,0.03159908067857033,0.4314657063427723,0.027256484292487653,0.07508354523016335
49,0.8794670472688342,0.0020543925261157533,0.8205156999479525,0.03623926001880535,0.4470202101343958,0.028292820047322715,0.0740346360387149
50,0.8805583667008414,0.0021603577110895283,0.8210701390447762,0.03620444748620727,0.4445912684977274,0.028068492662665884,0.07608698945400978
51,0.8808311965588432,0.0017490926222617695,0.8200287818125581,0.03500633560581448,0.46198632735720624,0.026339180295468834,0.07934989976177166
52,0.881376856274847,0.0024509173395639333,0.829039580975333,0.03820879684332997,0.503110911563346,0.02742886676214555,0.07457222421819747
53,0.881376856274847,0.003123872089059747,0.8245644276073678,0.039504796233090965,0.503619187451665,0.027069083234382233,0.07957319854369335
54,0.8802855368428397,0.0033846300573505336,0.827190549635846,0.038341708031949404,0.49195552399093706,0.02783960019913175,0.08199761488445516
55,0.8817861010618496,0.002236539297942633,0.8472442329319217,0.037230671610100366,0.4840972030277997,0.02840204245957517,0.08116415758146658
56,0.8811040264168452,0.002677349333853321,0.845131422166931,0.036303776410975146,0.47369184524760005,0.03148290059988302,0.07768428888615066
57,0.881376856274847,0.0037118900745226873,0.8459720781915868,0.03780534639391715,0.4815309978619142,0.03187188522508372,0.07644346049580797
58,0.881240441345846,0.0031345764222749524,0.8426400598167909,0.03887863985332433,0.4870523935922424,0.03270087222162365,0.07858362985974393
59,0.8820589309198515,0.003720903175791544,0.8390720502172121,0.04006250896161209,0.48492451379133866,0.032888249511055054,0.077014683627419
60,0.881376856274847,0.003331430202528289,0.8411787023987917,0.040101982983609424,0.4936976082699925,0.034095845219033,0.07226326353737401
61,0.884105154854865,0.0034499764366766905,0.8418787624688835,0.040799824635454694,0.49708074399495633,0.03295815880593723,0.0703408496956249
62,0.8849236444288704,0.00266061573658883,0.8311223541875514,0.03908015671624439,0.47916865654928725,0.03323613666049325,0.07620163073267856
63,0.8858785489318768,0.0018423592463546125,0.8265043981964769,0.0372178709151851,0.48205402801621017,0.032140450081873585,0.07870549789963643
64,0.888606847511895,0.0018423592463546136,0.8343795269073816,0.03529601402449787,0.4950075902711793,0.03213746803650743,0.07324903226736419
65,0.8875155280798875,0.0035362791289863357,0.8387310299384231,0.039968911359541684,0.47857386188255996,0.03295871797045501,0.07376224751945111
