stage,layer,n,mean_neg_score,mean_valence_score,mean_NEG,mean_NEU,mean_POS,pole_gap_NEG_minus_POS,persona_spread_within_NEG,persona_ratio_within_NEG,spearman_neg_score_vs_pole_num,spearman_valence_score_vs_pole_num,spearman_neg_score_vs_rating,spearman_valence_score_vs_rating,spearman_neg_score_vs_signed_intensity,spearman_valence_score_vs_signed_intensity
choice1,59,72,0.6120440881285403,-0.6120440881285403,10.30272107819716,-2.250147553781668,-6.216441260029872,16.519162338227034,2.3000411690055125,0.1392347336936681,-0.6367848885762243,0.6367848885762243,-0.5571659545851092,0.5571659545851092,-0.5992792520174308,0.5992792520174308
choice1,60,72,1.096305909463101,-1.096305909463101,10.731548517942429,-1.7306051918615897,-5.712025597691536,16.443574115633965,2.2516749414916113,0.1369334261309285,-0.635966399002219,0.635966399002219,-0.5479836625043343,0.5479836625043343,-0.5916373586781588,0.5916373586781588
choice1,61,72,0.9990050322893593,-0.9990050322893593,10.502585078279177,-1.7834446349491675,-5.722125346461932,16.224710424741108,2.1531046671267067,0.13270527551871933,-0.6351479094282135,0.6351479094282135,-0.5487938647467555,0.5487938647467555,-0.5876187768359555,0.5876187768359555
choice1,62,72,0.8756004903051589,-0.8756004903051589,10.37430058668057,-1.9176290060083072,-5.829870109756787,16.20417069643736,2.1467144851855675,0.13247913302083045,-0.6367848885762243,0.6367848885762243,-0.5487938647467555,0.5487938647467555,-0.5871740976976789,0.5871740976976789
choice1,63,72,0.8928663341535462,-0.8928663341535462,10.292711600661278,-1.848181853691737,-5.7659307445089025,16.05864234517018,2.118715463901726,0.1319361511615553,-0.6408773364462514,0.6408773364462514,-0.543527550171017,0.543527550171017,-0.5873058544793905,0.5873058544793905
choice1,64,72,1.0073002172737486,-1.0073002172737486,10.552206461628279,-1.7758406122835975,-5.754465197523435,16.306671659151714,2.1944358859081636,0.1345728872069728,-0.6367848885762243,0.6367848885762243,-0.5393077468250727,0.5393077468250727,-0.5846707188451588,0.5846707188451588
choice1,65,72,0.7211846140627232,-0.7211846140627232,10.325531343619028,-2.0524136590150497,-6.10956384241581,16.435095186034836,2.1970014058488645,0.13367743727554993,-0.6343294198542081,0.6343294198542081,-0.5296190783427844,0.5296190783427844,-0.5781816973458632,0.5781816973458632
choice1,66,72,0.7085877259572347,-0.7085877259572347,10.459614997108778,-2.117396821578344,-6.2164549976587296,16.67606999476751,2.1893271188778414,0.13128555586326945,-0.6302369719841809,0.6302369719841809,-0.5251460867960833,0.5251460867960833,-0.5733890444111043,0.5733890444111043
choice1,67,72,0.7833873662683699,-0.7833873662683699,10.508310606082281,-2.0312882413466773,-6.126860265930493,16.635170872012775,2.1650849429895938,0.13015104922259382,-0.6285999928361701,0.6285999928361701,-0.5229686682695761,0.5229686682695761,-0.5710997703288655,0.5710997703288655
choice1,68,72,0.9017827498416106,-0.9017827498416106,10.347334012389183,-1.8028382298847039,-5.839147532979648,16.18648154536883,2.1379371913015652,0.1320816500676305,-0.6253260345401483,0.6253260345401483,-0.51918772447161,0.51918772447161,-0.5661094822215392,0.5661094822215392
choice1,69,72,0.4014950684375233,-0.4014950684375233,9.671214647591114,-2.2081328431765237,-6.25859659910202,15.929811246693134,2.094481098042606,0.13148185283597752,-0.6294184824101755,0.6294184824101755,-0.5189176570574695,0.5189176570574695,-0.5665706309575298,0.5665706309575298
choice1,70,72,0.485588532148136,-0.485588532148136,9.72689606497685,-2.1567352892210088,-6.113395179311435,15.840291244288284,2.1160177916894862,0.1335845256287496,-0.6253260345401483,0.6253260345401483,-0.5189345362708533,0.5189345362708533,-0.5685305130854896,0.5685305130854896
choice1,71,72,0.2358109201822016,-0.2358109201822016,9.494364958256483,-2.4190816432237625,-6.3678505544861155,15.862215512742598,2.1846835099107134,0.13772877490888275,-0.6253260345401483,0.6253260345401483,-0.5221753452405385,0.5221753452405385,-0.5739490107333786,0.5739490107333786
choice1,72,72,0.11577352094981405,-0.11577352094981405,9.44767132649819,-2.5270854073266187,-6.573265356322129,16.02093668282032,2.222216782479785,0.13870704481734378,-0.6187781179481049,0.6187781179481049,-0.5139382891092552,0.5139382891092552,-0.5621567787701917,0.5621567787701917
choice1,73,72,0.38131310707992977,-0.38131310707992977,9.762614741921425,-2.2714282870292664,-6.3472471336523695,16.109861875573795,2.290840607974719,0.14220113280102994,-0.6179596283740995,0.6179596283740995,-0.5111700981143157,0.5111700981143157,-0.5650389583701326,0.5650389583701326
choice1,74,72,0.2919330567949348,-0.2919330567949348,9.53456478441755,-2.334094432493051,-6.324671181539695,15.859235965957243,2.262717642106877,0.14267507255481474,-0.6155041596520832,0.6155041596520832,-0.5168077553844973,0.5168077553844973,-0.5639354953232981,0.5639354953232981
choice1,75,72,0.10843577194545004,-0.10843577194545004,8.894986773530642,-2.3280947419504323,-6.241584715743859,15.136571489274502,2.239635132463817,0.14796185080952987,-0.6285999928361701,0.6285999928361701,-0.5292814940751088,0.5292814940751088,-0.5793510387835535,0.5793510387835535
choice1,76,72,-0.14107910605768362,0.14107910605768362,8.522852764154473,-2.5775853730738163,-6.368504709253709,14.891357473408181,2.157267790809689,0.14486710124728175,-0.6277815032621646,0.6277815032621646,-0.527981794644558,0.527981794644558,-0.5694198713620429,0.5694198713620429
choice1,77,72,0.15049793348751134,-0.15049793348751134,8.65834803134203,-2.3458862298478684,-5.860968001031627,14.519316032373656,2.200754811620012,0.1515742757243522,-0.6302369719841809,0.6302369719841809,-0.5340920698894854,0.5340920698894854,-0.5784287413115724,0.5784287413115724
choice1,78,72,0.06257232640766436,-0.06257232640766436,8.553420942587158,-2.4308354624857507,-5.934868500878413,14.488289443465572,2.514425273531406,0.1735488018335697,-0.645788273890284,0.645788273890284,-0.5551573281924397,0.5551573281924397,-0.608732801105237,0.608732801105237
choice1,79,72,-1.351085500791669,1.351085500791669,6.94201922416687,-4.021911084031065,-6.973364642510812,13.915383866677683,2.57142813083602,0.184790312324309,-0.6801648359985121,0.6801648359985121,-0.6433174596959091,0.6433174596959091,-0.6599861891910436,0.6599861891910436
choice2,0,72,-1.5146061558690336,1.5146061558690336,5.414042746648192,-6.558315146714449,-3.3995460675408444,8.813588814189037,2.2746143678810484,0.2580803819914013,-0.4026968704106714,0.4026968704106714,-0.2191934650017337,0.2191934650017337,-0.2568269067513072,0.2568269067513072
