stage,test,persona,pole,round,n_runs,mean_neg_score_all_layers,mean_valence_score_all_layers,mean_rating,mean_signed_intensity
manip1,T1_task_valence,STATIC,POS,round2,1,-25.350775039196016,25.350775039196016,2.0,4.0
manip1,T1_task_valence,SWARM,NEG,round1,1,32.319688940048216,-32.319688940048216,0.0,4.0
manip1,T1_task_valence,SWARM,NEG,round2,1,31.922191286087035,-31.922191286087035,3.0,5.0
manip1,T1_task_valence,SWARM,NEU,round1,1,8.917325344681739,-8.917325344681739,3.0,5.0
manip1,T1_task_valence,SWARM,NEU,round2,1,9.106634710729121,-9.106634710729121,2.0,5.0
manip1,T1_task_valence,SWARM,POS,round1,1,-29.036328125,29.036328125,3.0,5.0
manip1,T1_task_valence,SWARM,POS,round2,1,-28.949171113967896,28.949171113967896,3.0,5.0
manip1,T2_identity_recognition,BASELINE,NEG,round1,1,-7.997979871509597,7.997979871509597,0.0,0.0
manip1,T2_identity_recognition,BASELINE,NEG,round2,1,-8.629915648512542,8.629915648512542,0.0,0.0
manip1,T2_identity_recognition,BASELINE,NEU,round1,1,-7.997179620340466,7.997179620340466,2.0,4.0
manip1,T2_identity_recognition,BASELINE,NEU,round2,1,-7.959936623834073,7.959936623834073,0.0,2.0
manip1,T2_identity_recognition,BASELINE,POS,round1,1,-8.894628408551217,8.894628408551217,0.0,0.0
manip1,T2_identity_recognition,BASELINE,POS,round2,1,-7.904613027209416,7.904613027209416,0.0,0.0
manip1,T2_identity_recognition,SOL,NEG,round1,1,-21.550072778202594,21.550072778202594,0.0,0.0
manip1,T2_identity_recognition,SOL,NEG,round2,1,-21.66521183848381,21.66521183848381,0.0,0.0
manip1,T2_identity_recognition,SOL,NEU,round1,1,-22.59914773404598,22.59914773404598,2.0,4.0
manip1,T2_identity_recognition,SOL,NEU,round2,1,-22.91418281197548,22.91418281197548,3.0,5.0
manip1,T2_identity_recognition,SOL,POS,round1,1,-21.793700754642487,21.793700754642487,3.0,5.0
manip1,T2_identity_recognition,SOL,POS,round2,1,-22.691722740232944,22.691722740232944,3.0,5.0
manip1,T2_identity_recognition,STATIC,NEG,round1,1,-11.239772172272206,11.239772172272206,0.0,0.0
manip1,T2_identity_recognition,STATIC,NEG,round2,1,-11.803905787318945,11.803905787318945,0.0,0.0
